date,value,source,parser
2026-06-10,2041,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-11,1994,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-12,1950,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-15,1939,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-16,1927,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-17,1953,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-19,2092,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-22,2176,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-23,2227,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-25,2014,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-29,1935,Hormuz Watch BDTI API,tiered:tiered_v1
2026-06-30,1895,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-01,1864,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-02,1850,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-06,1866,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-07,1885,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-09,1988,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-13,2060,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-14,2145,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-15,2209,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-16,2268,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-17,2283,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-20,2298,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-21,2356,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-22,2400,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-23,2502,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-24,2532,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-27,2582,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-28,2601,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-29,2607,Hormuz Watch BDTI API,tiered:tiered_v1
2026-07-30,2590,Hormuz Watch BDTI API,tiered:tiered_v1
