date,value,source,parser
2026-05-31,83092,FADA monthly press PDF,tiered:tiered_v1
2026-07-06,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-07,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-08,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-09,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-11,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-12,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-13,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-14,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-21,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-22,100818,FADA monthly press PDF,tiered:tiered_v1
2026-07-23,100818,FADA monthly press PDF,tiered:tiered_v1
2026-08-06,117349,FADA monthly press PDF,tiered:tiered_v1
2026-08-08,117349,FADA monthly press PDF,tiered:tiered_v1
2026-08-09,117349,FADA monthly press PDF,tiered:tiered_v1
2026-08-10,117349,FADA monthly press PDF,tiered:tiered_v1
