date,value,source,parser
2026-05-12,20.3,NSE allIndices,tiered:tiered_v1
2026-05-13,20.33,NSE allIndices,tiered:tiered_v1
2026-05-14,20.33,NSE allIndices,tiered:tiered_v1
2026-05-15,20.61,NSE allIndices,tiered:tiered_v1
2026-05-18,20.45,NSE allIndices,tiered:tiered_v1
2026-05-19,20.37,NSE allIndices,tiered:tiered_v1
2026-05-20,20.41,NSE allIndices,tiered:tiered_v1
2026-05-21,20.4,NSE allIndices,tiered:tiered_v1
2026-05-22,20.44,NSE allIndices,tiered:tiered_v1
2026-05-25,20.71,NSE allIndices,tiered:tiered_v1
2026-05-29,20.58,NSE allIndices,tiered:tiered_v1
2026-06-01,20.07,NSE allIndices,tiered:tiered_v1
2026-06-02,20.27,NSE allIndices,tiered:tiered_v1
2026-06-03,20.2,NSE allIndices,tiered:tiered_v1
2026-06-04,20.21,NSE allIndices,tiered:tiered_v1
2026-06-05,20.17,NSE allIndices,tiered:tiered_v1
2026-06-08,19.96,NSE allIndices,tiered:tiered_v1
2026-06-09,20.06,NSE allIndices,tiered:tiered_v1
2026-06-11,19.98,NSE allIndices,tiered:tiered_v1
2026-06-12,20.37,NSE allIndices,tiered:tiered_v1
2026-06-15,20.57,NSE allIndices,tiered:tiered_v1
2026-06-16,20.69,NSE allIndices,tiered:tiered_v1
2026-06-17,20.77,NSE allIndices,tiered:tiered_v1
2026-06-18,20.85,NSE allIndices,tiered:tiered_v1
2026-06-19,20.71,NSE allIndices,tiered:tiered_v1
2026-06-20,20.71,NSE allIndices,tiered:tiered_v1
2026-06-21,20.71,NSE allIndices,tiered:tiered_v1
2026-06-22,20.71,NSE allIndices,tiered:tiered_v1
2026-06-23,20.55,NSE allIndices,tiered:tiered_v1
2026-06-24,20.55,NSE allIndices,tiered:tiered_v1
2026-06-25,20.72,NSE allIndices,tiered:tiered_v1
2026-06-26,20.75,NSE allIndices,tiered:tiered_v1
