date,value,source,parser
2026-06-12,23487,google-news-llm,tiered:tiered_v1
2026-06-11,23100,google-news-llm,tiered:tiered_v1
2026-06-15,23982,google-news-llm,tiered:tiered_v1
2026-06-16,23963,google-news-llm,tiered:tiered_v1
2026-06-17,24032,google-news-llm,tiered:tiered_v1
2026-06-18,24083,google-news-llm,tiered:tiered_v1
2026-06-19,24001,google-news-llm,tiered:tiered_v1
2026-06-22,24124.5,google-news-llm,tiered:tiered_v1
2026-06-23,24132.5,google-news-llm,tiered:tiered_v1
2026-06-24,23874,google-news-llm,tiered:tiered_v1
