date,value,source,parser
2026-06-12,23487,google-news-llm,tiered:tiered_v1
2026-06-11,23100,google-news-llm,tiered:tiered_v1
2026-06-15,23982,google-news-llm,tiered:tiered_v1
2026-06-16,23963,google-news-llm,tiered:tiered_v1
2026-06-17,24032,google-news-llm,tiered:tiered_v1
2026-06-18,24083,google-news-llm,tiered:tiered_v1
2026-06-19,24001,google-news-llm,tiered:tiered_v1
2026-06-22,24124.5,google-news-llm,tiered:tiered_v1
2026-06-23,24132.5,google-news-llm,tiered:tiered_v1
2026-06-24,23874,google-news-llm,tiered:tiered_v1
2026-06-25,24119,google-news-llm,tiered:tiered_v1
2026-06-26,23800,google-news-llm,tiered:tiered_v1
2026-06-29,24095.5,google-news-llm,tiered:tiered_v1
2026-06-30,23987.5,google-news-llm,tiered:tiered_v1
2026-07-01,24002.5,google-news-llm,tiered:tiered_v1
2026-07-02,24180.5,google-news-llm,tiered:tiered_v1
2026-07-03,24410.5,google-news-llm,tiered:tiered_v1
2026-07-06,24322.5,google-news-llm,tiered:tiered_v1
2026-07-07,24543,google-news-llm,tiered:tiered_v1
2026-07-08,24234.5,google-news-llm,tiered:tiered_v1
2026-07-09,23990,google-news-llm,tiered:tiered_v1
2026-07-10,24115,google-news-llm,tiered:tiered_v1
2026-07-13,24100,google-news-llm,tiered:tiered_v1
2026-07-14,24062,google-news-llm,tiered:tiered_v1
2026-07-15,24041.5,google-news-llm,tiered:tiered_v1
