date,value,source,parser
2026-05-31,83823,FADA monthly press PDF,tiered:tiered_v1
2026-07-06,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-07,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-08,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-09,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-11,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-12,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-13,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-14,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-21,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-22,90972,FADA monthly press PDF,tiered:tiered_v1
2026-07-23,90972,FADA monthly press PDF,tiered:tiered_v1
2026-08-06,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-08,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-09,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-10,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-11,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-12,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-13,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-15,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-16,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-17,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-18,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-19,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-20,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-22,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-23,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-25,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-27,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-29,99666,FADA monthly press PDF,tiered:tiered_v1
2026-08-30,99666,FADA monthly press PDF,tiered:tiered_v1
