date,value,source,parser
2026-05-14,16,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-05-15,16,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-05-29,16,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-05,16.2,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-15,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-16,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-17,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-18,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-20,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-21,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-22,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-23,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-24,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-25,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-27,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-28,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-29,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-06-30,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-01,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-02,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-04,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-05,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-06,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-07,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-08,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-09,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-11,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-12,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-13,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-14,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-21,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-22,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-23,18.6,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-25,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-26,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-27,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-28,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-29,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-07-30,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
2026-08-01,17.7,https://tradingeconomics.com/india/loan-growth,json_api:rbi_fortnightly_v1
