date,value,source,parser
2026-05-12,4.08,derived,manual:derived_v1
2026-05-13,1.25,derived,manual:derived_v1
2026-05-14,1.25,derived,manual:derived_v1
2026-05-15,3.65,derived,manual:derived_v1
2026-05-18,0.95,derived,manual:derived_v1
2026-05-19,1.55,derived,manual:derived_v1
2026-05-20,1.23,derived,manual:derived_v1
2026-05-21,1.32,derived,manual:derived_v1
2026-05-22,1.35,derived,manual:derived_v1
2026-05-25,4.69,derived,manual:derived_v1
2026-05-29,3.66,derived,manual:derived_v1
2026-06-01,1.31,derived,manual:derived_v1
2026-06-02,1.15,derived,manual:derived_v1
2026-06-03,1.02,derived,manual:derived_v1
2026-06-04,0.98,derived,manual:derived_v1
2026-06-05,1.04,derived,manual:derived_v1
2026-06-08,0.93,derived,manual:derived_v1
2026-06-09,1.35,derived,manual:derived_v1
2026-06-11,2.13,derived,manual:derived_v1
2026-06-12,4.94,derived,manual:derived_v1
2026-06-15,15.94,derived,manual:derived_v1
2026-06-16,0,derived,manual:derived_v1
2026-06-17,15.37,derived,manual:derived_v1
2026-06-18,3.43,derived,manual:derived_v1
2026-06-19,-0.24,derived,manual:derived_v1
2026-06-20,-0.24,derived,manual:derived_v1
2026-06-21,-0.24,derived,manual:derived_v1
2026-06-22,-0.24,derived,manual:derived_v1
2026-06-23,1.63,derived,manual:derived_v1
2026-06-24,38.09,derived,manual:derived_v1
2026-06-25,1.97,derived,manual:derived_v1
